season,season_type,week,player_display_name,player_position,team_abbr,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected
2020,REG,0,Peyton Barber,RB,WAS,4.389922480620154,42.5531914893617,2.6626590909090906,94,258,2.74468085106383,4,00-0032741,Kenneth,Barber,34,P.Barber,332.583707142824,-74.58370714282398,-0.7934436930087657,0.35106382978723405
2020,REG,0,Alvin Kamara,RB,NO,3.659195278969957,11.76470588235294,2.7542543352601148,187,932,4.983957219251337,16,00-0033906,Alvin,Kamara,41,A.Kamara,841.0791077032206,76.92089229677936,0.41578860700961817,0.3945945945945946
2020,REG,0,David Johnson,RB,HOU,3.3408104196816213,14.965986394557824,2.5682608695652167,147,691,4.700680272108843,6,00-0032187,David,Johnson,31,D.Johnson,630.7803601838177,60.21963981618228,0.4096574137155257,0.36054421768707484
2020,REG,0,Mike Davis,RB,CAR,4.153037383177569,32.72727272727273,2.7872751677852357,165,642,3.890909090909091,6,00-0032063,Michael,Davis,28,M.Davis,615.032319439101,10.967680560898998,0.06812223950868943,0.3416149068322981
2020,REG,0,Kalen Ballage,RB,LAC,4.503069306930692,19.78021978021978,2.7066097560975604,91,303,3.32967032967033,3,00-0034799,Kalen,Ballage,31,K.Ballage,348.1626675986243,-51.162667598624296,-0.5748614336924078,0.4044943820224719
2020,REG,0,J.K. Dobbins,RB,BAL,3.273291925465839,23.134328358208954,2.872177419354839,134,805,6.007462686567164,9,00-0036158,Jkaylin,Dobbins,27,J.Dobbins,608.0527002421428,195.9472997578572,1.4732879681041895,0.42105263157894735
2020,REG,0,Kareem Hunt,RB,CLE,4.010178359096315,31.313131313131315,2.8650165745856357,198,841,4.247474747474747,6,00-0033923,Kareem,Hunt,27,K.Hunt,804.84081640102,36.15918359898001,0.1826221393887879,0.41414141414141414
2020,REG,0,Derrick Henry,RB,TEN,3.569768130241737,27.77777777777778,2.7594225352112662,378,2027,5.362433862433862,17,00-0032764,Derrick,Henry,22,D.Henry,1623.9206287903678,367.0793712096322,0.9974982913305223,0.4266304347826087
2020,REG,0,Ezekiel Elliott,RB,DAL,3.7117773237997955,22.950819672131146,2.6178602620087332,244,979,4.012295081967213,6,00-0033045,Ezekiel,Elliott,21,E.Elliott,955.3623101177907,7.637689882209315,0.03169165926227931,0.42738589211618255
2020,REG,0,Melvin Gordon,RB,DEN,3.936460446247465,19.53488372093023,2.9307157894736844,215,986,4.586046511627907,9,00-0032144,Melvin,Gordon,25,M.Gordon,957.6951450074038,6.304854992596233,0.030458236679208855,0.36231884057971014
2020,REG,0,Giovani Bernard,RB,CIN,4.452908653846156,12.096774193548388,2.6349824561403508,124,416,3.3548387096774195,3,00-0030456,Giovani,Bernard,25,G.Bernard,509.57661745989503,-97.57661745989503,-0.7998083398352052,0.3360655737704918
2020,REG,0,Clyde Edwards-Helaire,RB,KC,3.81423412204234,9.392265193370166,2.796552147239264,181,803,4.43646408839779,4,00-0036360,Clyde,Edwards-Helaire,25,C.Edwards-Helaire,872.6042229654104,-110.60422296541037,-0.6284330850307408,0.3352272727272727
2020,REG,0,Nyheim Hines,RB,IND,3.7896052631578945,12.359550561797752,2.742116883116883,89,380,4.269662921348314,3,00-0034367,Nyheim,Hines,21,N.Hines,386.1879491204074,-7.1879491204073815,-0.08168124000462934,0.38636363636363635
2020,REG,0,Chase Edmonds,RB,ARI,3.5960714285714275,8.24742268041237,2.691046511627907,97,448,4.618556701030927,1,00-0034681,Chase,Edmonds,29,C.Edmonds,439.1117813119684,-2.1117813119684,-0.02222927696808842,0.35789473684210527
2020,REG,0,Gus Edwards,RB,BAL,3.201217150760719,34.02777777777778,2.6465263157894747,144,723,5.020833333333333,6,00-0034184,Gus,Edwards,35,G.Edwards,579.5891583272868,125.41084167271322,0.8831749413571354,0.4647887323943662
2020,REG,0,Zack Moss,RB,BUF,3.7737214137214137,14.285714285714285,2.7966176470588247,112,481,4.294642857142857,4,00-0036251,Zaccheus,Moss,20,Z.Moss,439.8872826518104,1.1127173481896193,0.010302938409163142,0.39814814814814814
2020,REG,0,Benny Snell,RB,PIT,4.513478260869565,29.72972972972973,2.7364141414141407,111,368,3.315315315315315,4,00-0035217,Benny,Snell,24,B.Snell,411.4146641929489,-43.41466419294892,-0.39112310083737767,0.3333333333333333
2020,REG,0,Aaron Jones,RB,GB,3.435326086956521,19.402985074626866,2.7116096256684497,201,1104,5.492537313432836,9,00-0033293,Aaron,Jones,33,A.Jones,966.2154594040165,127.78454059598346,0.6389227029799173,0.395
2020,REG,0,Jonathan Taylor,RB,IND,3.5066467065868268,29.74137931034483,2.808627358490564,232,1169,5.038793103448276,11,00-0036223,Jonathan,Taylor,28,J.Taylor,982.1433246409861,150.85667535901393,0.6616520849079559,0.42543859649122806
2020,REG,0,Jamaal Williams,RB,GB,3.6540594059405946,19.327731092436977,2.5395877192982454,119,505,4.243697478991597,2,00-0033948,Jamaal,Williams,30,J.Williams,478.25112973492776,20.74887026507224,0.17583788360230712,0.3644067796610169
2020,REG,0,Damien Harris,RB,NE,3.5910998552821987,39.416058394160586,2.6969,137,691,5.043795620437956,2,00-0035657,Damien,Harris,37,D.Harris,651.3089400091195,39.69105999088049,0.2897157663567919,0.40875912408759124
