play_id,game_id,old_game_id,play_type,yards_gained,run_location,run_gap,epa,rush_attempt,offense_formation,offense_personnel,defenders_in_box,defense_personnel
55,2021_01_ARI_TEN,2021091207,run,-3,left,tackle,-1.399805107,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB"
181,2021_01_ARI_TEN,2021091207,run,2,right,end,-1.009907755,1.0,SHOTGUN,"1 RB, 2 TE, 2 WR",6.0,"3 DL, 4 LB, 4 DB"
282,2021_01_ARI_TEN,2021091207,run,0,middle,,-0.579939476,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB"
473,2021_01_ARI_TEN,2021091207,run,-1,middle,,-0.948031954,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,"3 DL, 4 LB, 4 DB"
716,2021_01_ARI_TEN,2021091207,run,2,left,end,-0.483267964,1.0,I_FORM,"2 RB, 2 TE, 1 WR",8.0,"4 DL, 5 LB, 2 DB"
737,2021_01_ARI_TEN,2021091207,run,7,left,tackle,-1.822097914,1.0,SINGLEBACK,"2 RB, 2 TE, 1 WR",8.0,"4 DL, 5 LB, 2 DB"
816,2021_01_ARI_TEN,2021091207,run,4,left,end,-0.044034799,1.0,WILDCAT,"2 RB, 2 TE, 1 WR",8.0,"3 DL, 4 LB, 4 DB"
1011,2021_01_ARI_TEN,2021091207,run,-1,left,tackle,-0.90972738,1.0,I_FORM,"2 RB, 1 TE, 2 WR",8.0,"4 DL, 4 LB, 3 DB"
1032,2021_01_ARI_TEN,2021091207,run,2,right,tackle,-0.557045331,1.0,SINGLEBACK,"2 RB, 1 TE, 2 WR",8.0,"4 DL, 4 LB, 3 DB"
1185,2021_01_ARI_TEN,2021091207,run,3,middle,,-0.39460284,1.0,SHOTGUN,"2 RB, 1 TE, 2 WR",6.0,"3 DL, 3 LB, 5 DB"
1206,2021_01_ARI_TEN,2021091207,run,10,left,end,1.0845553776016459,1.0,SHOTGUN,"2 RB, 1 TE, 2 WR",7.0,"3 DL, 3 LB, 5 DB"
1254,2021_01_ARI_TEN,2021091207,run,7,left,guard,0.8900341975968331,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB"
1286,2021_01_ARI_TEN,2021091207,run,7,right,end,-0.602467983,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB"
1323,2021_01_ARI_TEN,2021091207,run,8,middle,,0.728644913,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB"
1455,2021_01_ARI_TEN,2021091207,run,2,left,tackle,-0.524448788,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB"
1608,2021_01_ARI_TEN,2021091207,run,0,left,guard,-0.291238683,1.0,I_FORM,"6 OL, 2 RB, 2 TE, 0 WR",9.0,"4 DL, 6 LB, 1 DB"
