play_id,nflverse_game_id,down,ydstogo,yardline_100,goal_to_go,qtr,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,posteam,defteam,shotgun,no_huddle,qb_dropback,pass_length,pass_location,air_yards,receiver,yards_after_catch,yards_gained,epa,success,wpa,complete_pass,air_epa,possession_team,offense_formation,offense_personnel,route
83,2024_01_ARI_BUF,2.0,7,67,0,1,867,1767,3567,0,3,3,ARI,BUF,0,0,1,short,left,-3,J.Conner,25,22,2.0288739004172385,1,0.053842008113861084,1,-1.083851746,ARI,UNDER CENTER,"2 C, 1 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",SCREEN
108,2024_01_ARI_BUF,1.0,10,45,0,1,823,1723,3523,0,3,3,ARI,BUF,1,0,1,short,middle,2,J.Conner,7,9,0.7542423038976267,1,0.054494768381118774,1,-0.567366944,ARI,SHOTGUN,"2 C, 1 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",HITCH/CURL
199,2024_01_ARI_BUF,3.0,6,30,0,1,668,1568,3368,0,3,3,ARI,BUF,1,0,1,short,middle,6,G.Dortch,2,8,1.6808002545731142,1,0.065692544,1,1.5502750736195594,ARI,SHOTGUN,"2 C, 1 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",QUICK OUT
224,2024_01_ARI_BUF,1.0,10,22,0,1,632,1532,3332,0,3,3,ARI,BUF,1,0,1,short,right,12,M.Harrison,,0,-0.46762533,0,-0.015382051,0,0.5161405812832527,ARI,SHOTGUN,"2 C, 1 G, 1 QB, 2 RB, 2 T, 1 TE, 2 WR",GO
347,2024_01_ARI_BUF,2.0,5,5,1,1,514,1414,3214,0,3,3,ARI,BUF,1,0,1,,,,,,0,-0.985447601,0,-0.014873981,0,,ARI,SHOTGUN,"2 C, 1 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",
381,2024_01_ARI_BUF,3.0,5,5,1,1,474,1374,3174,0,3,3,ARI,BUF,1,0,1,short,left,5,Mi.Wilson,0,5,2.7047049563843757,1,0.046479319,1,2.7047049563843757,ARI,SHOTGUN,"2 C, 1 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",CORNER
503,2024_01_ARI_BUF,1.0,10,33,0,1,375,1275,3075,-7,3,3,BUF,ARI,1,0,1,short,middle,13,M.Hollins,1,14,0.9132840262027457,1,0.035256892,1,0.868078452,BUF,SHOTGUN,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",IN/DIG
528,2024_01_ARI_BUF,1.0,10,19,0,1,333,1233,3033,-7,3,3,BUF,ARI,1,0,1,,,,,,-10,-6.044649657,0,-0.153742403,0,,BUF,SHOTGUN,"1 C, 2 G, 1 QB, 2 T, 1 TE, 4 WR",
587,2024_01_ARI_BUF,2.0,6,67,0,1,286,1186,2986,7,3,3,ARI,BUF,1,0,1,short,left,-3,J.Conner,5,2,-0.547627533,0,0.000965476,1,-1.150209042,ARI,SHOTGUN,"2 C, 1 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",HITCH/CURL
622,2024_01_ARI_BUF,3.0,4,65,0,1,251,1151,2951,7,3,3,ARI,BUF,1,0,1,short,right,0,E.Demercado,24,24,2.664914552355185,1,0.042442739,1,-1.462461128,ARI,SHOTGUN,"2 C, 1 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",SWING
