play_id,nflverse_game_id,down,ydstogo,yardline_100,goal_to_go,qtr,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,posteam,defteam,shotgun,no_huddle,qb_dropback,pass_length,pass_location,air_yards,receiver,yards_after_catch,yards_gained,epa,success,wpa,complete_pass,air_epa,possession_team,offense_formation,offense_personnel,route
76,2021_01_ARI_TEN,2.0,13,78,0,1,863,1763,3563,0,3,3,TEN,ARI,1,0,1,short,middle,2,D.Henry,1,3,0.032412356,1,-0.022280276,1,-0.531589365,TEN,SHOTGUN,"1 RB, 2 TE, 2 WR",ANGLE
100,2021_01_ARI_TEN,3.0,10,75,0,1,822,1722,3522,0,3,3,TEN,ARI,1,0,1,short,right,10,C.Rogers,,0,-1.532897668,0,-0.036612004,0,1.977100291987881,TEN,SHOTGUN,"1 RB, 1 TE, 3 WR",HITCH
152,2021_01_ARI_TEN,1.0,10,61,0,1,807,1707,3507,0,3,3,ARI,TEN,1,0,1,deep,left,29,D.Hopkins,9,38,2.692890160600655,1,0.09434855,1,2.0311694068368524,ARI,SHOTGUN,"1 RB, 2 TE, 2 WR",GO
218,2021_01_ARI_TEN,1.0,18,31,0,1,746,1646,3446,0,3,3,ARI,TEN,1,0,1,short,left,-4,C.Edmonds,5,1,-0.511089988,0,-0.011362135,1,-0.809699023,ARI,SHOTGUN,"1 RB, 2 TE, 2 WR",FLAT
253,2021_01_ARI_TEN,2.0,17,30,0,1,714,1614,3414,0,3,3,ARI,TEN,1,0,1,deep,right,20,A.Green,1,21,2.182014848,1,0.049806654,1,2.0867752136546187,ARI,EMPTY,"1 RB, 1 TE, 3 WR",GO
386,2021_01_ARI_TEN,2.0,24,24,1,1,608,1508,3308,0,2,3,ARI,TEN,1,0,1,short,middle,4,C.Kirk,4,8,-0.214038722,0,-0.019487739,1,-0.374924012,ARI,EMPTY,"1 RB, 1 TE, 3 WR",IN
410,2021_01_ARI_TEN,3.0,16,16,1,1,569,1469,3269,0,2,3,ARI,TEN,1,1,1,deep,right,16,R.Moore,,0,-0.211301869,0,-0.031421065,0,4.036590498,ARI,SHOTGUN,"1 RB, 0 TE, 4 WR",GO
494,2021_01_ARI_TEN,2.0,11,81,0,1,516,1416,3216,-3,3,2,TEN,ARI,0,0,1,,,,,,-14,-6.696359839,0,-0.101132005,0,,TEN,,"2 RB, 1 TE, 2 WR",
599,2021_01_ARI_TEN,1.0,5,5,1,1,510,1410,3210,3,1,3,ARI,TEN,1,0,1,short,right,5,A.Green,,0,-0.448300893,0,-0.014945626,0,1.3623089360189624,ARI,SHOTGUN,"1 RB, 2 TE, 2 WR",GO
621,2021_01_ARI_TEN,2.0,5,5,1,1,506,1406,3206,3,1,3,ARI,TEN,1,0,1,short,right,5,D.Harris,,0,-0.881277125,0,-0.015044272,0,1.810609828622546,ARI,SHOTGUN,"1 RB, 2 TE, 2 WR",OUT
660,2021_01_ARI_TEN,3.0,5,5,1,1,498,1398,3198,3,1,2,ARI,TEN,1,0,1,short,right,5,D.Hopkins,0,5,2.691886954009533,1,0.098633106,1,2.691886954009533,ARI,SHOTGUN,"1 RB, 1 TE, 3 WR",IN
769,2021_01_ARI_TEN,3.0,16,81,0,1,419,1319,3119,-10,2,1,TEN,ARI,1,0,1,short,right,-1,J.McNichols,,0,-1.115887605,0,-0.025506094,0,-1.106354453,TEN,SHOTGUN,"1 RB, 1 TE, 3 WR",FLAT
839,2021_01_ARI_TEN,2.0,6,61,0,1,364,1264,3064,10,1,2,ARI,TEN,1,1,1,short,left,3,D.Hopkins,0,3,-0.376883017,0,-0.017019033,1,-0.376883017,ARI,SHOTGUN,"1 RB, 1 TE, 3 WR",HITCH
863,2021_01_ARI_TEN,3.0,3,58,0,1,329,1229,3029,10,1,2,ARI,TEN,1,1,1,short,right,3,A.Green,,0,-1.676421273,0,-0.012421012,0,1.1942855187226087,ARI,SHOTGUN,"1 RB, 1 TE, 3 WR",HITCH
911,2021_01_ARI_TEN,1.0,10,80,0,1,319,1219,3019,-10,2,1,TEN,ARI,0,0,1,,,,,,-6,-1.440316052,0,-0.0211128,0,,TEN,I_FORM,"2 RB, 1 TE, 2 WR",
930,2021_01_ARI_TEN,2.0,16,86,0,1,274,1174,2974,-10,2,1,TEN,ARI,1,0,1,short,left,4,C.Rogers,0,4,-0.472422538,0,-0.01531364,1,-0.472422538,TEN,SHOTGUN,"1 RB, 1 TE, 3 WR",CROSS
