play_id,game_id,old_game_id,play_type,yards_gained,run_location,run_gap,epa,rush_attempt,offense_formation,offense_personnel
3685,2021_10_DET_PIT,2021111404,run,3,left,guard,-0.287398088,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR"
3745,2021_10_DET_PIT,2021111404,run,6,right,guard,-0.079491717,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
3807,2021_10_DET_PIT,2021111404,run,5,left,tackle,-0.062854847,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
4010,2021_10_DET_PIT,2021111404,qb_kneel,-1,,,0,1.0,,"2 RB, 2 TE, 1 WR"
4101,2021_10_DET_PIT,2021111404,run,3,middle,,-0.196332526,1.0,SINGLEBACK,"6 OL, 1 RB, 2 TE, 1 WR"
4130,2021_10_DET_PIT,2021111404,run,0,right,tackle,-0.767016848,1.0,SINGLEBACK,"6 OL, 1 RB, 2 TE, 1 WR"
4200,2021_10_DET_PIT,2021111404,run,2,left,guard,-0.403160532,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
4298,2021_10_DET_PIT,2021111404,run,1,right,tackle,-0.493079541,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
4352,2021_10_DET_PIT,2021111404,run,-2,middle,,-0.903046489,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR"
4373,2021_10_DET_PIT,2021111404,run,8,left,tackle,0.5467244737083092,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR"
4490,2021_10_DET_PIT,2021111404,run,4,left,guard,-0.279044167,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR"
4511,2021_10_DET_PIT,2021111404,run,0,,,-1.505342264,1.0,SHOTGUN,"1 RB, 2 TE, 2 WR"
64,2021_10_JAX_IND,2021111401,run,34,right,tackle,1.952212510863319,1.0,SINGLEBACK,"2 RB, 1 TE, 2 WR"
90,2021_10_JAX_IND,2021111401,run,0,middle,,-0.471973121,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
159,2021_10_JAX_IND,2021111401,run,8,middle,,0.46920154854888096,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
180,2021_10_JAX_IND,2021111401,run,3,left,tackle,0.038395603,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR"
223,2021_10_JAX_IND,2021111401,run,7,right,guard,-0.134285977,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
330,2021_10_JAX_IND,2021111401,run,5,right,tackle,0.009825539,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
351,2021_10_JAX_IND,2021111401,run,1,right,end,-0.700339663,1.0,SHOTGUN,"0 RB, 1 TE, 4 WR"
471,2021_10_JAX_IND,2021111401,run,2,right,guard,-0.566716379,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR"
597,2021_10_JAX_IND,2021111401,run,20,right,end,1.637811704655178,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
618,2021_10_JAX_IND,2021111401,run,5,right,tackle,0.14925997552927583,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
690,2021_10_JAX_IND,2021111401,run,8,left,tackle,0.4765479327761568,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
711,2021_10_JAX_IND,2021111401,run,4,middle,,0.4584348280332051,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
732,2021_10_JAX_IND,2021111401,run,4,right,tackle,0.8897598824696615,1.0,SINGLEBACK,"2 RB, 1 TE, 2 WR"
814,2021_10_JAX_IND,2021111401,run,0,middle,,-0.716214313,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
859,2021_10_JAX_IND,2021111401,run,66,left,end,5.421875048894435,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
1078,2021_10_JAX_IND,2021111401,run,3,middle,,-0.54981807,1.0,SHOTGUN,"1 RB, 2 TE, 2 WR"
1177,2021_10_JAX_IND,2021111401,run,9,left,end,0.6741043895017356,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
1198,2021_10_JAX_IND,2021111401,run,3,left,guard,-0.289992826,1.0,SINGLEBACK,"1 RB, 3 TE, 1 WR"
1262,2021_10_JAX_IND,2021111401,run,5,right,end,0.000454787,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR"
1315,2021_10_JAX_IND,2021111401,run,12,right,end,0.7479651249013841,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
1376,2021_10_JAX_IND,2021111401,run,1,left,end,-0.480539536,1.0,SHOTGUN,"1 RB, 2 TE, 2 WR"
1397,2021_10_JAX_IND,2021111401,run,3,left,end,-0.400979053,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
1459,2021_10_JAX_IND,2021111401,run,4,right,end,-0.127719518,1.0,SHOTGUN,"1 RB, 2 TE, 2 WR"
1485,2021_10_JAX_IND,2021111401,run,5,middle,,0.3645694199949503,1.0,SHOTGUN,"0 RB, 1 TE, 4 WR"
1506,2021_10_JAX_IND,2021111401,run,-1,middle,,-2.158377622,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
1598,2021_10_JAX_IND,2021111401,run,6,left,guard,-0.18289808,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
1700,2021_10_JAX_IND,2021111401,run,4,middle,,-0.009923147,1.0,SHOTGUN,"1 RB, 3 TE, 1 WR"
1885,2021_10_JAX_IND,2021111401,run,8,right,end,0.010667088674381375,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
2152,2021_10_JAX_IND,2021111401,run,8,right,end,0.218431284,1.0,EMPTY,"0 RB, 1 TE, 4 WR"
2280,2021_10_JAX_IND,2021111401,run,10,left,tackle,0.7114516920410097,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
2301,2021_10_JAX_IND,2021111401,run,3,left,tackle,-0.310828899,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR"
2360,2021_10_JAX_IND,2021111401,run,8,right,end,0.7183077512308955,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
2381,2021_10_JAX_IND,2021111401,run,14,middle,,0.9106746447505429,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR"
2585,2021_10_JAX_IND,2021111401,run,0,middle,,-0.864865588,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR"
2929,2021_10_JAX_IND,2021111401,run,6,right,guard,0.13317168853245676,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
2974,2021_10_JAX_IND,2021111401,run,0,middle,,-0.558266066,1.0,SINGLEBACK,"2 RB, 1 TE, 2 WR"
3129,2021_10_JAX_IND,2021111401,run,0,middle,,-0.802243245,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
3232,2021_10_JAX_IND,2021111401,run,18,left,end,2.0750764524564147,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
3264,2021_10_JAX_IND,2021111401,run,3,right,tackle,-0.283051428,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
3328,2021_10_JAX_IND,2021111401,run,1,middle,,-0.064893282,1.0,I_FORM,"1 RB, 1 TE, 3 WR"
3353,2021_10_JAX_IND,2021111401,run,1,middle,,0.7925765075779054,1.0,I_FORM,"1 RB, 3 TE, 0 WR,1 DL"
3454,2021_10_JAX_IND,2021111401,run,-1,right,end,-0.866033573,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
3535,2021_10_JAX_IND,2021111401,run,1,right,end,-0.433405918,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
3619,2021_10_JAX_IND,2021111401,run,3,middle,,-0.418596031,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
3664,2021_10_JAX_IND,2021111401,run,2,right,end,-0.561601284,1.0,SINGLEBACK,"2 RB, 1 TE, 2 WR"
3714,2021_10_JAX_IND,2021111401,run,0,right,tackle,-0.719931785,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
3788,2021_10_JAX_IND,2021111401,run,1,left,guard,-0.523529462,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
4013,2021_10_JAX_IND,2021111401,run,2,left,tackle,0.4196565554011613,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
4128,2021_10_JAX_IND,2021111401,qb_kneel,-1,,,0,1.0,,"1 RB, 3 TE, 1 WR"
4166,2021_10_JAX_IND,2021111401,qb_kneel,-1,,,0,1.0,,"1 RB, 3 TE, 1 WR"
4187,2021_10_JAX_IND,2021111401,qb_kneel,-1,,,0,1.0,,"1 RB, 3 TE, 1 WR"
62,2021_10_KC_LV,2021111411,run,5,middle,,0.1774756838567555,1.0,SHOTGUN,"1 RB, 2 TE, 2 WR"
89,2021_10_KC_LV,2021111411,run,0,right,end,-0.85420945,1.0,SHOTGUN,"1 RB, 3 TE, 1 WR"
183,2021_10_KC_LV,2021111411,run,3,left,guard,-0.333051588,1.0,SHOTGUN,"1 RB, 2 TE, 2 WR"
232,2021_10_KC_LV,2021111411,run,5,left,end,0.6726628155447543,1.0,I_FORM,"2 RB, 2 TE, 1 WR"
253,2021_10_KC_LV,2021111411,run,3,left,tackle,-0.288838094,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR"
431,2021_10_KC_LV,2021111411,run,5,right,guard,0.090085576,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
574,2021_10_KC_LV,2021111411,run,1,left,tackle,-0.345136446,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
595,2021_10_KC_LV,2021111411,run,3,middle,,0.5630172516102903,1.0,WILDCAT,"1 RB, 1 TE, 3 WR"
701,2021_10_KC_LV,2021111411,run,3,left,guard,-0.375675709,1.0,SINGLEBACK,"1 RB, 3 TE, 1 WR"
880,2021_10_KC_LV,2021111411,run,1,left,end,-0.577566743,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
934,2021_10_KC_LV,2021111411,run,-1,left,end,-0.673815998,1.0,SHOTGUN,"1 RB, 2 TE, 2 WR"
1030,2021_10_KC_LV,2021111411,run,21,middle,,1.3743748834822327,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR"
1075,2021_10_KC_LV,2021111411,run,1,right,tackle,-0.313151543,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR"
