play_id,nflverse_game_id,down,ydstogo,yardline_100,goal_to_go,qtr,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,posteam,defteam,shotgun,no_huddle,qb_dropback,pass_length,pass_location,air_yards,receiver,yards_after_catch,yards_gained,epa,success,wpa,complete_pass,air_epa,possession_team,offense_formation,offense_personnel,route
1433,2020_01_ARI_SF,3.0,7,86,0,2,643,643,2443,-3,3,2,ARI,SF,1,0,1,short,middle,7,L.Fitzgerald,2,9,1.7524432900827378,1,0.055149496,1,1.640576034784317,ARI,SHOTGUN,"1 RB, 0 TE, 4 WR",IN
1457,2020_01_ARI_SF,1.0,10,77,0,2,621,621,2421,-3,3,2,ARI,SF,1,1,1,short,left,-2,D.Hopkins,14,12,0.6566469711251557,1,0.023647814989089966,1,-0.923685397,ARI,EMPTY,"1 RB, 0 TE, 4 WR",SCREEN
1510,2020_01_ARI_SF,1.0,10,54,0,2,567,567,2367,-3,3,2,ARI,SF,1,1,1,short,left,15,D.Hopkins,0,15,0.8711827863007784,1,0.058066725730895996,1,0.8711827863007784,ARI,PISTOL,"1 RB, 2 TE, 2 WR",OUT
1564,2020_01_ARI_SF,2.0,10,39,0,2,495,495,2295,-3,3,2,ARI,SF,1,1,1,short,left,4,C.Edmonds,1,5,-0.11636098,0,-0.002615243,1,-0.343312128,ARI,EMPTY,"1 RB, 1 TE, 3 WR",OUT
1588,2020_01_ARI_SF,3.0,5,34,0,2,456,456,2256,-3,3,2,ARI,SF,1,1,1,short,left,1,C.Edmonds,,0,-1.810282648,0,-0.047912329,0,-1.25622584,ARI,EMPTY,"1 RB, 0 TE, 4 WR",FLAT
1655,2020_01_ARI_SF,2.0,7,55,0,2,412,412,2212,3,2,3,SF,ARI,1,0,1,short,right,6,K.Bourne,12,18,1.613619087729603,1,0.053299844,1,0.4737890404649079,SF,SHOTGUN,"2 RB, 1 TE, 2 WR",IN
1683,2020_01_ARI_SF,1.0,10,37,0,2,378,378,2178,3,2,3,SF,ARI,1,1,1,deep,right,34,D.Pettis,,0,-0.448526156,0,-0.012964427,0,2.3070779203553684,SF,SHOTGUN,"2 RB, 1 TE, 2 WR",CROSS
1726,2020_01_ARI_SF,3.0,9,36,0,2,332,332,2132,3,2,3,SF,ARI,1,0,1,short,left,4,J.McKinnon,,0,-1.343033222,0,-0.041940153,0,-0.841960752,SF,SHOTGUN,"1 RB, 1 TE, 3 WR",OUT
1836,2020_01_ARI_SF,2.0,9,71,0,2,210,210,2010,-3,3,2,ARI,SF,1,1,1,short,left,7,D.Arnold,6,13,1.2185124529059976,1,0.042189180850982666,1,0.3535083495080471,ARI,SHOTGUN,"1 RB, 1 TE, 3 WR",IN
1887,2020_01_ARI_SF,1.0,15,63,0,2,161,161,1961,-3,3,2,ARI,SF,1,0,1,short,left,5,M.Williams,,0,-5.111413042,0,-0.144053012,0,0.012782695586793125,ARI,SHOTGUN,"1 RB, 2 TE, 2 WR",HITCH
1956,2020_01_ARI_SF,2.0,7,23,0,2,117,117,1917,3,2,3,SF,ARI,1,0,1,short,right,-3,J.McKinnon,12,9,0.9943044469109736,1,0.021196544,1,-0.831456541,SF,SHOTGUN,"1 RB, 1 TE, 3 WR",SCREEN
1980,2020_01_ARI_SF,1.0,10,14,0,2,79,79,1879,3,2,3,SF,ARI,1,0,1,short,middle,5,J.McKinnon,1,6,0.29012399876955897,1,0.017845332622528076,1,0.038244913,SF,EMPTY,"2 RB, 2 TE, 1 WR",SLANT
2008,2020_01_ARI_SF,2.0,4,8,0,2,44,44,1844,3,2,3,SF,ARI,1,0,1,short,left,-2,G.Kittle,,0,-0.696353176,0,-0.006005585,0,-1.108758786,SF,SHOTGUN,"1 RB, 1 TE, 3 WR",SCREEN
2034,2020_01_ARI_SF,3.0,4,8,0,2,41,41,1841,3,2,3,SF,ARI,1,0,1,short,middle,2,T.Taylor,0,2,-1.298047473,0,-0.028711259,1,-1.298047473,SF,EMPTY,"1 RB, 1 TE, 3 WR",HITCH
2139,2020_01_ARI_SF,1.0,10,55,0,2,23,23,1823,-6,2,2,ARI,SF,1,1,1,short,left,12,D.Hopkins,0,12,0.4845583629794419,1,0.017403006553649902,1,0.4845583629794419,ARI,SHOTGUN,"1 RB, 0 TE, 4 WR",HITCH
2222,2020_01_ARI_SF,2.0,10,43,0,2,13,13,1813,-6,0,2,ARI,SF,1,0,1,short,left,3,D.Hopkins,2,5,0.21165854117134586,1,0.000322461,1,0.038095515803433955,ARI,SHOTGUN,"1 RB, 0 TE, 4 WR",HITCH
2246,2020_01_ARI_SF,3.0,5,38,0,2,3,3,1803,-6,0,2,ARI,SF,0,0,0,,,0,,,0,0.41085599605997825,1,-0.042567849,0,,ARI,,"1 RB, 0 TE, 4 WR",
2375,2020_01_ARI_SF,1.0,20,73,0,3,867,1767,1767,-3,3,3,ARI,SF,1,0,1,short,left,0,K.Drake,3,3,-0.450952101,0,-0.012223303,1,-0.647455805,ARI,SHOTGUN,"1 RB, 2 TE, 2 WR",FLAT
2399,2020_01_ARI_SF,2.0,17,70,0,3,826,1726,1726,-3,3,3,ARI,SF,1,0,1,short,right,9,D.Hopkins,0,9,0.1562172183766961,1,0.001627207,1,0.1562172183766961,ARI,SHOTGUN,"1 RB, 1 TE, 3 WR",OUT
2432,2020_01_ARI_SF,3.0,8,61,0,3,795,1695,1695,-3,3,3,ARI,SF,1,1,1,short,left,12,D.Hopkins,0,12,2.2297512479126453,1,0.082027435,1,2.2297512479126453,ARI,EMPTY,"1 RB, 1 TE, 3 WR",OUT
2490,2020_01_ARI_SF,2.0,7,46,0,3,758,1658,1658,-3,3,3,ARI,SF,1,1,1,,,,,,-5,-1.629293471,0,-0.083916873,0,,ARI,SHOTGUN,"1 RB, 2 TE, 2 WR",
2532,2020_01_ARI_SF,3.0,17,56,0,3,697,1597,1597,-3,3,3,ARI,SF,1,0,1,,,,,,25,3.556731603224762,1,0.1581381857395172,0,,ARI,EMPTY,"1 RB, 0 TE, 4 WR",
2607,2020_01_ARI_SF,1.0,18,39,0,3,642,1542,1542,-3,3,3,ARI,SF,1,0,1,,,,,,8,0.481981459,1,0.023861676454544067,0,,ARI,EMPTY,"1 RB, 1 TE, 3 WR",
2628,2020_01_ARI_SF,2.0,10,31,0,3,601,1501,1501,-3,3,3,ARI,SF,1,1,1,short,right,0,,,0,-0.691704072,0,-0.041860551,0,-0.684443323,ARI,SHOTGUN,"1 RB, 1 TE, 3 WR",
2650,2020_01_ARI_SF,3.0,10,31,0,3,597,1497,1497,-3,3,3,ARI,SF,1,0,1,short,right,0,C.Kirk,,0,-1.170873138,0,-0.042567521,0,-1.34541554,ARI,SHOTGUN,"1 RB, 1 TE, 3 WR",HITCH
2713,2020_01_ARI_SF,2.0,8,59,0,3,547,1447,1447,3,3,3,SF,ARI,1,0,1,,,,,,-4,-1.392170399,0,-0.049208403,0,,SF,SHOTGUN,"2 RB, 1 TE, 2 WR",
2732,2020_01_ARI_SF,3.0,12,63,0,3,501,1401,1401,3,3,3,SF,ARI,1,0,1,short,left,15,K.Bourne,,0,-1.164538125,0,-0.023910344,0,2.576266353018582,SF,SHOTGUN,"1 RB, 1 TE, 3 WR",POST
