old_game_id,play_id,posteam,defteam,play_type,pass_attempt,rush_attempt,air_yards,run_gap,qb_kneel,qb_spike,qb_scramble,sack,down,yards_gained,ydstogo,epa
2024090801,1349,ARI,BUF,pass,1.0,0.0,9.0,none,0,0,0,0.0,3.0,14.0,5,1.7101828231243417
2024090801,1374,ARI,BUF,run,0.0,1.0,0.0,end,0,0,0,0.0,1.0,4.0,10,-0.124969535
2024090801,1396,ARI,BUF,pass,1.0,0.0,6.0,none,0,0,0,0.0,2.0,8.0,6,0.8864028779207729
2024090801,1429,ARI,BUF,run,0.0,1.0,0.0,end,0,0,0,0.0,1.0,3.0,10,-0.384524157
2024090801,1451,ARI,BUF,pass,1.0,0.0,7.0,none,0,0,0,0.0,2.0,7.0,7,1.460740303125931
2024090801,1476,ARI,BUF,run,0.0,1.0,0.0,guard,0,0,0,0.0,1.0,3.0,3,1.0359662319824563
2024090801,1542,BUF,ARI,no_play,0.0,0.0,0.0,none,0,0,0,0.0,1.0,0.0,10,-0.5656486
2024090801,1568,BUF,ARI,run,0.0,1.0,0.0,end,0,0,0,0.0,1.0,6.0,15,0.1111703503411263
2024090801,1590,BUF,ARI,pass,1.0,0.0,5.0,none,0,0,0,0.0,2.0,8.0,9,0.4514509483706206
2024090801,1622,BUF,ARI,no_play,0.0,0.0,0.0,none,0,0,0,0.0,3.0,0.0,1,-0.800534668
2024090801,1646,BUF,ARI,pass,1.0,0.0,8.0,none,0,0,0,0.0,3.0,19.0,6,1.8934377821860835
2024090801,1671,BUF,ARI,no_play,0.0,0.0,0.0,none,0,0,0,0.0,1.0,0.0,10,-0.598616166
2024090801,1695,BUF,ARI,run,0.0,1.0,0.0,end,0,0,1,0.0,1.0,6.0,15,0.5671229729778133
2024090801,1735,BUF,ARI,no_play,0.0,0.0,0.0,none,0,0,0,0.0,1.0,0.0,10,1.1111218813457526
2024090801,1766,BUF,ARI,pass,1.0,0.0,1.0,none,0,0,0,0.0,1.0,12.0,10,1.029533959197579
2024090801,1796,BUF,ARI,run,0.0,1.0,0.0,guard,0,0,1,0.0,1.0,7.0,10,0.3095180768577847
2024090801,1818,BUF,ARI,run,0.0,1.0,0.0,end,0,0,0,0.0,2.0,7.0,3,2.1600681267445907
2024090801,1886,ARI,BUF,qb_kneel,0.0,1.0,0.0,none,1,0,0,0.0,1.0,-1.0,10,0.0
2024090801,1967,BUF,ARI,run,0.0,1.0,0.0,end,0,0,0,0.0,1.0,1.0,10,-0.822719354
2024090801,1989,BUF,ARI,pass,1.0,0.0,-6.0,none,0,0,0,0.0,1.0,4.0,19,-0.394552199
2024090801,2030,BUF,ARI,pass,1.0,0.0,4.0,none,0,0,0,0.0,2.0,4.0,15,-0.366703711
2024090801,2060,BUF,ARI,pass,1.0,0.0,13.0,none,0,0,0,0.0,3.0,25.0,11,3.1290228996658698
2024090801,2089,BUF,ARI,run,0.0,1.0,0.0,guard,0,0,0,0.0,1.0,-2.0,10,-1.086485466
2024090801,2111,BUF,ARI,pass,1.0,0.0,2.0,none,0,0,0,0.0,2.0,14.0,12,1.8925047408556568
2024090801,2145,BUF,ARI,run,0.0,1.0,0.0,tackle,0,0,0,0.0,1.0,13.0,10,0.5300695956684649
2024090801,2167,BUF,ARI,run,0.0,1.0,0.0,guard,0,0,0,0.0,1.0,0.0,10,-0.476553389
2024090801,2189,BUF,ARI,pass,1.0,0.0,-4.0,none,0,0,0,0.0,2.0,0.0,10,-0.784664166
2024090801,2216,BUF,ARI,pass,1.0,0.0,11.0,none,0,0,0,0.0,3.0,11.0,10,2.9797972704982385
2024090801,2291,ARI,BUF,run,0.0,1.0,0.0,end,0,0,0,0.0,1.0,2.0,10,-0.362471925
2024090801,2318,ARI,BUF,run,0.0,1.0,0.0,end,0,0,0,0.0,2.0,2.0,8,-0.516522001
2024090801,2340,ARI,BUF,pass,1.0,0.0,0.0,none,0,0,0,1.0,3.0,-8.0,6,-2.120881262
2024090801,2360,ARI,BUF,punt,0.0,0.0,0.0,none,0,0,0,0.0,4.0,0.0,14,0.077613079
2024090801,2386,BUF,ARI,pass,1.0,0.0,-6.0,none,0,0,0,0.0,1.0,3.0,10,-0.285451837
2024090801,2423,BUF,ARI,run,0.0,1.0,0.0,guard,0,0,0,0.0,2.0,0.0,7,-0.770659726
2024090801,2445,BUF,ARI,pass,1.0,0.0,41.0,none,0,0,0,0.0,3.0,0.0,7,-1.393969296
2024090801,2468,BUF,ARI,punt,0.0,0.0,0.0,none,0,0,0,0.0,4.0,0.0,7,0.2104343557730317
2024090801,2494,ARI,BUF,pass,1.0,0.0,0.0,none,0,0,0,0.0,1.0,3.0,10,-0.346568403
2024090801,2527,ARI,BUF,pass,1.0,0.0,0.0,none,0,0,0,1.0,2.0,-3.0,7,-4.927136368
2024090801,2561,BUF,ARI,run,0.0,1.0,0.0,none,0,0,0,0.0,1.0,1.0,10,-0.492742059
2024090801,2583,BUF,ARI,pass,1.0,0.0,7.0,none,0,0,0,0.0,2.0,7.0,9,0.395454568
2024090801,2608,BUF,ARI,run,0.0,1.0,0.0,guard,0,0,0,0.0,3.0,1.0,2,-0.816518086
2024090801,2632,BUF,ARI,run,0.0,1.0,0.0,none,0,0,0,0.0,4.0,1.0,1,1.343717468902469
2024090801,2654,BUF,ARI,pass,1.0,0.0,-2.0,none,0,0,0,0.0,1.0,11.0,10,1.7615444163093343
2024090801,2727,ARI,BUF,run,0.0,1.0,0.0,none,0,0,0,0.0,1.0,3.0,10,-0.23892288
2024090801,2749,ARI,BUF,pass,1.0,0.0,21.0,none,0,0,0,0.0,2.0,0.0,7,-0.751263102
2024090801,2776,ARI,BUF,run,0.0,1.0,0.0,end,0,0,1,0.0,3.0,29.0,7,3.1582735115662217
2024090801,2808,ARI,BUF,run,0.0,1.0,0.0,none,0,0,0,0.0,1.0,20.0,10,1.398078779107891
2024090801,2830,ARI,BUF,run,0.0,1.0,0.0,end,0,0,0,0.0,1.0,4.0,10,-0.162869629
2024090801,2877,ARI,BUF,run,0.0,1.0,0.0,tackle,0,0,0,0.0,2.0,2.0,6,-0.399986421
2024090801,2899,ARI,BUF,run,0.0,1.0,0.0,end,0,0,0,0.0,3.0,0.0,4,-1.325622667
2024090801,2921,ARI,BUF,field_goal,0.0,0.0,0.0,none,0,0,0,0.0,4.0,0.0,4,0.1616882574913676
2024090801,2979,BUF,ARI,run,0.0,1.0,0.0,guard,0,0,0,0.0,1.0,6.0,10,0.2958887978456914
2024090801,3001,BUF,ARI,pass,1.0,0.0,14.0,none,0,0,0,0.0,2.0,19.0,4,1.1874085823073983
2024090801,3030,BUF,ARI,run,0.0,1.0,0.0,end,0,0,0,0.0,1.0,1.0,10,-0.504330723
2024090801,3052,BUF,ARI,pass,1.0,0.0,13.0,none,0,0,0,0.0,2.0,0.0,9,-0.819686915
2024090801,3075,BUF,ARI,no_play,0.0,0.0,0.0,none,0,0,0,0.0,3.0,0.0,9,-0.68934781
2024090801,3099,BUF,ARI,pass,1.0,0.0,6.0,none,0,0,0,0.0,3.0,12.0,14,0.2233110663946718
2024090801,3124,BUF,ARI,run,0.0,1.0,0.0,end,0,0,1,0.0,4.0,5.0,2,2.4538897512247786
2024090801,3151,BUF,ARI,run,0.0,1.0,0.0,end,0,0,0,0.0,1.0,-2.0,10,-0.933668315
2024090801,3182,BUF,ARI,pass,1.0,0.0,28.0,none,0,0,0,0.0,2.0,28.0,12,2.7737594417412765
2024090801,3207,BUF,ARI,pass,1.0,0.0,6.0,none,0,0,0,0.0,1.0,0.0,6,-0.535556788
2024090801,3230,BUF,ARI,run,0.0,1.0,0.0,guard,0,0,1,0.0,2.0,6.0,6,2.0386123674106784
2024090801,3345,BUF,ARI,run,0.0,1.0,0.0,none,0,0,1,0.0,1.0,9.0,10,0.8810101165436208
