play_id,game_id,old_game_id,play_type,yards_gained,run_location,run_gap,epa,rush_attempt,offense_formation,offense_personnel,defenders_in_box,defense_personnel
4444,2020_10_BUF_ARI,2020111506,run,12,middle,,1.0080008516088128,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"2 DL, 4 LB, 5 DB"
4885,2020_10_BUF_ARI,2020111506,run,0,,,-0.947,1.0,,"1 RB, 2 TE, 2 WR",8.0,"4 DL, 2 LB, 5 DB"
112,2020_10_CIN_PIT,2020111505,run,5,right,tackle,0.082921237,1.0,PISTOL,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
222,2020_10_CIN_PIT,2020111505,run,1,left,end,-0.405949249,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB"
243,2020_10_CIN_PIT,2020111505,run,7,left,guard,0.46276626910548657,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
491,2020_10_CIN_PIT,2020111505,run,1,middle,,-0.363696307,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
583,2020_10_CIN_PIT,2020111505,run,3,right,guard,-0.452993416,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,"2 DL, 4 LB, 5 DB"
724,2020_10_CIN_PIT,2020111505,run,16,left,guard,0.9921761423465796,1.0,PISTOL,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB"
745,2020_10_CIN_PIT,2020111505,run,0,left,tackle,-0.468066195,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
866,2020_10_CIN_PIT,2020111505,run,1,middle,,-0.57524297,1.0,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,"2 DL, 4 LB, 5 DB"
1114,2020_10_CIN_PIT,2020111505,run,1,middle,,-0.173724147,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB"
1233,2020_10_CIN_PIT,2020111505,run,-6,left,guard,-1.194038045,1.0,PISTOL,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
1338,2020_10_CIN_PIT,2020111505,run,14,left,guard,0.8733903905376792,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"2 DL, 4 LB, 5 DB"
1453,2020_10_CIN_PIT,2020111505,run,8,right,guard,0.44089431484462693,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB"
1773,2020_10_CIN_PIT,2020111505,run,-3,left,end,-1.366865271,1.0,JUMBO,"2 RB, 2 TE, 1 WR",9.0,"5 DL, 2 LB, 4 DB"
