game_id,season_type,home_team,away_team,posteam,defteam,location,stadium,roof,surface,temp,wind,qtr,down,ydstogo,yardline_100,time,quarter_seconds_remaining,game_seconds_remaining,score_differential,goal_to_go,posteam_timeouts_remaining,defteam_timeouts_remaining,play_type,rush_attempt,pass_attempt,field_goal_attempt,shotgun,no_huddle,qb_dropback,run_location,run_gap,pass_length,pass_location,air_yards,yards_after_catch,yards_gained,success,epa,touchdown
2021_01_ARI_TEN,REG,TEN,ARI,TEN,ARI,Home,Nissan Stadium,outdoors,grass ,82.0,8.0,1,1.0,10,75.0,15:00,900.0,3600.0,0.0,0,3.0,3.0,run,1.0,0.0,0.0,0,0,0.0,left,tackle,,,,,-3.0,0.0,-1.399805107,0.0
2021_01_ARI_TEN,REG,TEN,ARI,TEN,ARI,Home,Nissan Stadium,outdoors,grass ,82.0,8.0,1,2.0,13,78.0,14:23,863.0,3563.0,0.0,0,3.0,3.0,pass,0.0,1.0,0.0,1,0,1.0,,,short,middle,2.0,1.0,3.0,1.0,0.032412356,0.0
2021_01_ARI_TEN,REG,TEN,ARI,TEN,ARI,Home,Nissan Stadium,outdoors,grass ,82.0,8.0,1,3.0,10,75.0,13:42,822.0,3522.0,0.0,0,3.0,3.0,pass,0.0,1.0,0.0,1,0,1.0,,,short,right,10.0,,0.0,0.0,-1.532897668,0.0
2021_01_ARI_TEN,REG,TEN,ARI,TEN,ARI,Home,Nissan Stadium,outdoors,grass ,82.0,8.0,1,4.0,10,75.0,13:39,819.0,3519.0,0.0,0,3.0,3.0,punt,0.0,0.0,0.0,0,0,0.0,,,,,,,0.0,0.0,-0.345292648,0.0
2021_01_ARI_TEN,REG,TEN,ARI,ARI,TEN,Home,Nissan Stadium,outdoors,grass ,82.0,8.0,1,1.0,10,61.0,13:27,807.0,3507.0,0.0,0,3.0,3.0,pass,0.0,1.0,0.0,1,0,1.0,,,deep,left,29.0,9.0,38.0,1.0,2.692890160600655,0.0
2021_01_ARI_TEN,REG,TEN,ARI,ARI,TEN,Home,Nissan Stadium,outdoors,grass ,82.0,8.0,1,1.0,10,23.0,12:55,775.0,3475.0,0.0,0,3.0,3.0,run,1.0,0.0,0.0,1,1,0.0,right,end,,,,,2.0,0.0,-1.009907755,0.0
2021_01_ARI_TEN,REG,TEN,ARI,ARI,TEN,Home,Nissan Stadium,outdoors,grass ,82.0,8.0,1,1.0,18,31.0,12:26,746.0,3446.0,0.0,0,3.0,3.0,pass,0.0,1.0,0.0,1,0,1.0,,,short,left,-4.0,5.0,1.0,0.0,-0.511089988,0.0
2021_01_ARI_TEN,REG,TEN,ARI,ARI,TEN,Home,Nissan Stadium,outdoors,grass ,82.0,8.0,1,2.0,17,30.0,11:54,714.0,3414.0,0.0,0,3.0,3.0,pass,0.0,1.0,0.0,1,0,1.0,,,deep,right,20.0,1.0,21.0,1.0,2.182014848,0.0
2021_01_ARI_TEN,REG,TEN,ARI,ARI,TEN,Home,Nissan Stadium,outdoors,grass ,82.0,8.0,1,1.0,9,9.0,11:40,700.0,3400.0,0.0,1,3.0,3.0,run,1.0,0.0,0.0,1,1,0.0,middle,,,,,,0.0,0.0,-0.579939476,0.0
2021_01_ARI_TEN,REG,TEN,ARI,ARI,TEN,Home,Nissan Stadium,outdoors,grass ,82.0,8.0,1,2.0,24,24.0,10:08,608.0,3308.0,0.0,1,2.0,3.0,pass,0.0,1.0,0.0,1,0,1.0,,,short,middle,4.0,4.0,8.0,0.0,-0.214038722,0.0
2021_01_ARI_TEN,REG,TEN,ARI,ARI,TEN,Home,Nissan Stadium,outdoors,grass ,82.0,8.0,1,3.0,16,16.0,9:29,569.0,3269.0,0.0,1,2.0,3.0,pass,0.0,1.0,0.0,1,1,1.0,,,deep,right,16.0,,0.0,0.0,-0.211301869,0.0
