season,season_type,week,player_display_name,player_position,team_abbr,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
2020,REG,0,Darnell Mooney,WR,CHI,7.62752808988764,3.219063439899961,11.735408163265308,24.448922931056114,61,98,62.244897959183675,631.0,4,4.420327868852459,3.913009416524956,0.5073184523275027,00-0036309,Darnell,Mooney,11,D.Mooney
2020,REG,0,Marquise Brown,WR,BAL,7.455670103092784,3.2657447915639746,13.7479,39.2965556667143,58,100,57.99999999999999,769.0,8,4.845344827586207,3.8761056868566284,0.9692391407295791,00-0035662,Marquise,Brown,15,M.Brown
2020,REG,0,Braxton Berrios,WR,NYJ,7.141666666666667,3.42324568054728,7.707999999999999,10.42884870371236,37,55,67.27272727272727,394.0,3,6.172702702702702,5.614923542776559,0.5577791599261435,00-0034419,Braxton,Berrios,10,B.Berrios
2020,REG,0,Laviska Shenault,WR,JAX,7.064571428571428,3.3113755128203812,6.410253164556963,10.522958256016192,58,79,73.41772151898735,600.0,5,5.222068965517241,4.135107290009778,1.0869616755074638,00-0036268,Laviska,Shenault,10,L.Shenault Jr.
2020,REG,0,Henry Ruggs,WR,LV,6.963589743589744,3.3474026702350392,16.91953488372093,16.758381609407213,26,43,60.46511627906976,452.0,2,5.998076923076924,5.83080015370688,0.16727676937004432,00-0036357,Henry,Ruggs,11,H.Ruggs
2020,REG,0,Cam Sims,WR,WAS,6.951458333333332,3.5246586529186494,10.934166666666668,14.561011202911983,32,48,66.66666666666666,477.0,1,8.1090625,6.475281805924173,1.6337806940758277,00-0034104,Cam,Sims,89,C.Sims
2020,REG,0,Deebo Samuel,WR,SF,6.914634146341462,4.60005230039468,2.106818181818182,2.459362157659175,33,44,75.0,391.0,1,12.269393939393941,7.829263578780611,4.44013036061333,00-0035719,Tyshun,Samuel,19,D.Samuel
2020,REG,0,Robert Woods,WR,LAR,6.900932203389831,3.4120911201123416,7.077906976744186,23.93202941931967,90,129,69.76744186046511,936.0,6,5.669888888888888,5.717379116319747,-0.047490227430858845,00-0030431,Robert,Woods,17,R.Woods
2020,REG,0,Curtis Samuel,WR,CAR,6.805316455696203,3.473624456270824,7.058041237113401,17.1250403343814,77,97,79.38144329896907,851.0,3,4.562987012987013,4.752918988072676,-0.1899319750856634,00-0033282,Curtis,Samuel,10,C.Samuel
2020,REG,0,Corey Davis,WR,TEN,6.779999999999999,2.4113056853050225,12.291956521739133,28.838905465024357,65,92,70.65217391304348,984.0,5,4.483076923076924,4.009703099208185,0.47337382386873905,00-0033871,Corey,Davis,84,C.Davis
2020,REG,0,David Moore,WR,SEA,6.7175,4.093774476688737,9.26872340425532,9.43516370701026,35,47,74.46808510638297,417.0,6,5.173428571428572,4.939943265579102,0.23348530584947014,00-0033589,David,Moore,83,D.Moore
2020,REG,0,Brandin Cooks,WR,HOU,6.692454545454546,2.982509150031544,12.027563025210084,30.350092241141684,81,119,68.0672268907563,1143.0,6,4.318518518518519,3.6840213758180864,0.6344971427004324,00-0031236,Brandin,Cooks,13,B.Cooks
2020,REG,0,Tre'Quan Smith,WR,NO,6.680000000000001,3.484883469912088,9.507800000000001,14.565581731667788,34,50,68.0,448.0,4,3.8558823529411757,2.8928126062000303,0.9630697467411453,00-0034765,Tre'Quan,Smith,10,T.Smith
2020,REG,0,Danny Amendola,WR,DET,6.6728125,3.4342340432477467,8.304202898550724,11.518752977740073,46,69,66.66666666666666,602.0,0,6.553260869565217,5.39282229410541,1.160438575459807,00-0026035,Daniel,Amendola,80,D.Amendola
2020,REG,0,Marvin Jones,WR,DET,6.661071428571428,2.5339970249728228,12.866695652173913,29.745638176185725,76,115,66.08695652173913,978.0,9,2.7855263157894727,2.525771339184228,0.2597549766052447,00-0029293,Marvin,Jones,11,M.Jones
2020,REG,0,Dalton Schultz,TE,DAL,6.64758064516129,3.0650836734815274,6.737191011235954,12.848859136337918,63,89,70.78651685393258,615.0,4,4.491746031746032,3.5372186040896056,0.954527427656426,00-0034383,Dalton,Schultz,86,D.Schultz
2020,REG,0,Hunter Renfrow,WR,LV,6.631029411764706,3.4774215288126977,6.841688311688312,12.1347046425651,56,77,72.72727272727273,656.0,2,6.495892857142855,5.711911941267915,0.78398091587494,00-0034983,Hunter,Renfrow,13,H.Renfrow
2020,REG,0,Demarcus Robinson,WR,KC,6.608245614035087,4.223176900745077,9.587118644067795,11.274062321862079,45,59,76.27118644067797,466.0,3,3.8628888888888877,3.6068188052671037,0.25607008362178396,00-0032775,Demarcus,Robinson,11,D.Robinson
2020,REG,0,Jakeem Grant,WR,MIA,6.589245283018867,3.1467739735857205,10.117777777777778,12.857828694072355,36,54,66.66666666666666,373.0,1,4.798888888888889,3.566878881840959,1.2320100070479305,00-0032791,Jakeem,Grant,19,J.Grant
2020,REG,0,Keelan Cole,WR,JAX,6.579012345679012,3.2609386382485868,11.389204545454545,20.826276953638803,55,88,62.5,642.0,5,3.462727272727273,3.1027834240453487,0.3599438486819242,00-0033681,Keelan,Cole,84,K.Cole Sr.
2020,REG,0,Golden Tate,WR,NYG,6.578958333333335,2.1363611776062816,9.095,12.067689701101795,35,52,67.3076923076923,388.0,2,2.4134285714285713,2.5540160683995183,-0.14058749697094708,00-0027891,Golden,Tate,15,G.Tate III
