play_id,game_id,old_game_id,play_type,yards_gained,run_location,run_gap,epa,rush_attempt,offense_formation,offense_personnel,defenders_in_box,defense_personnel
3961,2024_10_MIA_LA,2024111100,qb_kneel,-1,,,-2.371539725,1.0,,"3 G, 1 QB, 2 RB, 2 T, 1 TE, 2 WR",0.0,"2 CB, 2 DE, 1 DT, 1 FS, 2 ILB, 2 OLB, 1 SS"
57,2024_10_MIN_JAX,2024111003,run,0,middle,,-0.516592893,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",7.0,"2 CB, 2 DE, 1 FS, 2 ILB, 1 NT, 2 OLB, 1 SS"
173,2024_10_MIN_JAX,2024111003,run,3,middle,,-0.280376404,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",7.0,"3 CB, 2 DE, 2 DT, 2 ILB, 2 SS"
195,2024_10_MIN_JAX,2024111003,run,4,middle,,-0.186668406,1.0,SHOTGUN,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",5.0,"3 CB, 2 DE, 2 DT, 2 ILB, 2 SS"
290,2024_10_MIN_JAX,2024111003,run,3,middle,,-0.268949241,1.0,UNDER CENTER,"1 C, 1 FB, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 2 WR",7.0,"2 CB, 2 DE, 2 DT, 3 ILB, 2 SS"
312,2024_10_MIN_JAX,2024111003,run,9,right,tackle,1.0966670187190175,1.0,SHOTGUN,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",6.0,"3 CB, 2 DE, 2 DT, 2 ILB, 2 SS"
357,2024_10_MIN_JAX,2024111003,run,3,middle,,-0.309068296,1.0,SHOTGUN,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",6.0,"3 CB, 2 DE, 2 DT, 2 ILB, 2 SS"
493,2024_10_MIN_JAX,2024111003,run,3,middle,,-0.334063199,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",7.0,"2 CB, 2 DE, 1 FS, 1 ILB, 1 NT, 2 OLB, 2 SS"
518,2024_10_MIN_JAX,2024111003,run,18,right,guard,1.6577869696775451,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",6.0,"2 CB, 1 DE, 1 FS, 1 ILB, 4 OLB, 2 SS"
633,2024_10_MIN_JAX,2024111003,run,0,middle,,-0.226877589,1.0,SHOTGUN,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",7.0,"2 CB, 3 DE, 1 ILB, 1 NT, 2 OLB, 2 SS"
683,2024_10_MIN_JAX,2024111003,run,0,middle,,-0.383105343,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 3 TE, 1 WR",8.0,"2 CB, 3 DE, 1 ILB, 1 NT, 2 OLB, 2 SS"
710,2024_10_MIN_JAX,2024111003,run,1,middle,,1.1078797607915476,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 3 TE, 1 WR",9.0,"2 CB, 3 DE, 1 ILB, 1 NT, 2 OLB, 2 SS"
846,2024_10_MIN_JAX,2024111003,run,6,right,end,0.5500575688201934,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",7.0,"2 CB, 2 DE, 2 DT, 3 ILB, 2 SS"
1008,2024_10_MIN_JAX,2024111003,run,7,middle,,0.2450826857239008,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",6.0,"2 CB, 2 DE, 2 DT, 1 FS, 3 ILB, 1 SS"
1057,2024_10_MIN_JAX,2024111003,run,0,middle,,-0.76478946,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",7.0,"2 CB, 2 DE, 2 DT, 1 FS, 3 ILB, 1 SS"
1211,2024_10_MIN_JAX,2024111003,run,6,left,end,0.2769566618371755,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",7.0,"2 CB, 2 DE, 2 DT, 1 FS, 3 ILB, 1 SS"
1238,2024_10_MIN_JAX,2024111003,run,-3,left,end,-1.285755048,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",6.0,"2 CB, 1 DE, 2 DT, 1 FS, 3 ILB, 1 OLB, 1 SS"
1285,2024_10_MIN_JAX,2024111003,run,3,middle,,-0.352454074,1.0,UNDER CENTER,"1 C, 1 FB, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 2 WR",7.0,"2 CB, 2 DE, 2 DT, 1 FS, 3 ILB, 1 SS"
1355,2024_10_MIN_JAX,2024111003,run,11,left,end,0.998184156,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",6.0,"2 CB, 1 DE, 2 DT, 1 FS, 3 ILB, 1 OLB, 1 SS"
1398,2024_10_MIN_JAX,2024111003,run,5,left,tackle,0.18513695430010557,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",6.0,"3 CB, 1 DE, 2 DT, 1 FS, 2 ILB, 1 OLB, 1 SS"
1444,2024_10_MIN_JAX,2024111003,run,5,left,guard,-0.059409926,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",7.0,"3 CB, 2 DE, 2 DT, 1 FS, 2 ILB, 1 SS"
1491,2024_10_MIN_JAX,2024111003,run,1,middle,,-0.406931481,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",6.0,"3 CB, 2 DE, 2 DT, 1 FS, 2 ILB, 1 SS"
1583,2024_10_MIN_JAX,2024111003,run,4,middle,,-0.238319873,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",7.0,"2 CB, 2 DE, 1 FS, 1 ILB, 1 NT, 2 OLB, 2 SS"
1605,2024_10_MIN_JAX,2024111003,run,2,right,end,-0.229970673,1.0,SHOTGUN,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",6.0,"2 CB, 1 DE, 1 FS, 2 ILB, 1 NT, 2 OLB, 2 SS"
1627,2024_10_MIN_JAX,2024111003,run,5,left,end,1.2767926686210558,1.0,SHOTGUN,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",5.0,"3 CB, 1 FS, 1 ILB, 4 OLB, 2 SS"
1704,2024_10_MIN_JAX,2024111003,run,2,left,guard,-0.499177831,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",7.0,"2 CB, 2 DE, 1 FS, 1 ILB, 1 NT, 2 OLB, 2 SS"
1781,2024_10_MIN_JAX,2024111003,run,1,right,guard,-0.477829066,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",6.0,"2 CB, 2 DE, 1 FS, 1 ILB, 1 NT, 2 OLB, 2 SS"
1837,2024_10_MIN_JAX,2024111003,run,3,middle,,-0.865965577,1.0,SHOTGUN,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",5.0,"3 CB, 1 FS, 1 ILB, 4 OLB, 2 SS"
2062,2024_10_MIN_JAX,2024111003,run,5,middle,,0.070003491,1.0,SHOTGUN,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",5.0,"3 CB, 1 FS, 1 ILB, 4 OLB, 2 SS"
2121,2024_10_MIN_JAX,2024111003,run,4,right,end,-0.014757555,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",7.0,"2 CB, 2 DE, 2 DT, 3 ILB, 2 SS"
2168,2024_10_MIN_JAX,2024111003,run,8,right,guard,0.5214566122740507,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",7.0,"2 CB, 2 DE, 2 DT, 3 ILB, 2 SS"
2193,2024_10_MIN_JAX,2024111003,run,13,right,end,1.043288807850331,1.0,UNDER CENTER,"1 C, 1 FB, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 2 WR",7.0,"2 CB, 2 DE, 2 DT, 3 ILB, 2 SS"
2326,2024_10_MIN_JAX,2024111003,run,15,middle,,1.011078943,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",7.0,"2 CB, 1 DE, 1 FS, 2 ILB, 1 NT, 2 OLB, 2 SS"
2355,2024_10_MIN_JAX,2024111003,run,-1,middle,,-0.806607727,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",7.0,"2 CB, 2 DE, 1 FS, 1 ILB, 1 NT, 2 OLB, 2 SS"
2377,2024_10_MIN_JAX,2024111003,run,1,middle,,-0.559063438,1.0,SHOTGUN,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",6.0,"2 CB, 1 DE, 1 FS, 2 ILB, 1 NT, 2 OLB, 2 SS"
2490,2024_10_MIN_JAX,2024111003,run,4,middle,,-0.122613301,1.0,UNDER CENTER,"1 C, 1 FB, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 2 WR",7.0,"2 CB, 2 DE, 2 DT, 3 ILB, 2 SS"
2598,2024_10_MIN_JAX,2024111003,run,3,middle,,-0.432945224,1.0,UNDER CENTER,"1 C, 1 FB, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 2 WR",7.0,"2 CB, 1 DE, 2 DT, 3 ILB, 1 OLB, 2 SS"
2700,2024_10_MIN_JAX,2024111003,run,4,right,tackle,-0.188477746,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",7.0,"2 CB, 2 DE, 2 DT, 3 ILB, 2 SS"
2782,2024_10_MIN_JAX,2024111003,run,7,middle,,0.3447571183787659,1.0,SHOTGUN,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",6.0,"3 CB, 2 DE, 2 DT, 2 ILB, 2 SS"
2804,2024_10_MIN_JAX,2024111003,run,6,middle,,0.4909916103351861,1.0,SHOTGUN,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",6.0,"3 CB, 1 DE, 2 DT, 2 ILB, 1 OLB, 2 SS"
2836,2024_10_MIN_JAX,2024111003,run,-3,left,end,-1.092196086,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",6.0,"3 CB, 2 DE, 2 DT, 2 ILB, 2 SS"
3130,2024_10_MIN_JAX,2024111003,run,7,right,end,0.8903186316601932,1.0,SHOTGUN,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",6.0,"3 CB, 2 DE, 2 DT, 1 FS, 2 ILB, 1 SS"
3152,2024_10_MIN_JAX,2024111003,run,0,left,tackle,-0.50874876,1.0,SHOTGUN,"1 C, 1 FB, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 2 WR",7.0,"2 CB, 2 DE, 2 DT, 1 FS, 3 ILB, 1 SS"
3199,2024_10_MIN_JAX,2024111003,run,8,middle,,0.45847286959178746,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",7.0,"2 CB, 2 DE, 2 DT, 1 FS, 3 ILB, 1 SS"
3221,2024_10_MIN_JAX,2024111003,run,4,middle,,0.36278224689885974,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",6.0,"2 CB, 1 DE, 2 DT, 1 FS, 3 ILB, 1 OLB, 1 SS"
3243,2024_10_MIN_JAX,2024111003,run,1,middle,,-0.532847117,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",7.0,"2 CB, 1 DE, 2 DT, 1 FS, 3 ILB, 1 OLB, 1 SS"
3265,2024_10_MIN_JAX,2024111003,run,10,left,end,1.3331259057158604,1.0,SHOTGUN,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",5.0,"2 CB, 1 DE, 2 DT, 1 FS, 3 ILB, 1 OLB, 1 SS"
3368,2024_10_MIN_JAX,2024111003,run,1,middle,,1.5094753010198474,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",8.0,"3 CB, 2 DE, 2 DT, 1 FS, 2 ILB, 1 SS"
3390,2024_10_MIN_JAX,2024111003,run,-7,right,end,-1.490152392,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",6.0,"3 CB, 2 DE, 2 DT, 1 FS, 2 ILB, 1 SS"
3446,2024_10_MIN_JAX,2024111003,run,5,middle,,-0.16312705,1.0,SHOTGUN,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",5.0,"3 CB, 2 DE, 1 DT, 1 FS, 1 ILB, 1 OLB, 2 SS"
3512,2024_10_MIN_JAX,2024111003,run,-3,middle,,-1.171476905,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",7.0,"2 CB, 1 DE, 1 FS, 2 ILB, 1 NT, 2 OLB, 2 SS"
3539,2024_10_MIN_JAX,2024111003,run,0,,,-4.396479363,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR",6.0,"2 CB, 1 DE, 1 FS, 2 ILB, 1 NT, 2 OLB, 2 SS"
3566,2024_10_MIN_JAX,2024111003,run,11,middle,,0.6888793510734104,1.0,UNDER CENTER,"1 C, 1 FB, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 2 WR",7.0,"2 CB, 2 DE, 2 DT, 3 ILB, 2 SS"
3588,2024_10_MIN_JAX,2024111003,run,2,left,tackle,-0.396148476,1.0,UNDER CENTER,"1 C, 1 FB, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 2 WR",7.0,"2 CB, 2 DE, 2 DT, 3 ILB, 2 SS"
3613,2024_10_MIN_JAX,2024111003,run,1,middle,,-0.613643124,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR",7.0,"2 CB, 2 DE, 2 DT, 3 ILB, 2 SS"
3754,2024_10_MIN_JAX,2024111003,run,5,middle,,0.059268064,1.0,UNDER CENTER,"1 C, 1 FB, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 1 WR",7.0,"2 CB, 2 DE, 2 DT, 3 ILB, 2 SS"
3776,2024_10_MIN_JAX,2024111003,run,4,middle,,0.10362274013459682,1.0,UNDER CENTER,"1 C, 1 FB, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 1 WR",8.0,"2 CB, 2 DE, 2 DT, 3 ILB, 2 SS"
4076,2024_10_MIN_JAX,2024111003,run,1,middle,,-0.145600448,1.0,UNDER CENTER,"1 C, 1 FB, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 1 WR",9.0,"2 CB, 2 DE, 2 DT, 3 ILB, 2 SS"
4131,2024_10_MIN_JAX,2024111003,run,2,middle,,0.14124976139282808,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 3 TE, 1 WR",7.0,"2 CB, 2 DE, 2 DT, 3 ILB, 2 SS"
4160,2024_10_MIN_JAX,2024111003,run,6,left,guard,0.4538823601906188,1.0,UNDER CENTER,"1 C, 1 FB, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 1 WR",7.0,"2 CB, 2 DE, 2 DT, 3 ILB, 2 SS"
4200,2024_10_MIN_JAX,2024111003,qb_kneel,0,,,0,1.0,,"1 C, 1 FB, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 2 WR",0.0,"2 CB, 2 DE, 2 DT, 3 ILB, 2 SS"
