game_id,season_type,home_team,away_team,posteam,defteam,location,stadium,roof,surface,temp,wind,qtr,down,ydstogo,yardline_100,time,quarter_seconds_remaining,game_seconds_remaining,score_differential,goal_to_go,posteam_timeouts_remaining,defteam_timeouts_remaining,play_type,rush_attempt,pass_attempt,field_goal_attempt,shotgun,no_huddle,qb_dropback,run_location,run_gap,pass_length,pass_location,air_yards,yards_after_catch,yards_gained,success,epa,touchdown
2020_10_BUF_ARI,REG,ARI,BUF,ARI,BUF,Home,State Farm Stadium,closed,grass,,,4,1.0,10,59.0,4:31,271.0,271.0,3.0,0,2.0,3.0,pass,0.0,1.0,0.0,1,0,1.0,,,short,left,15.0,,0.0,0.0,-0.524281695,0.0
2020_10_BUF_ARI,REG,ARI,BUF,ARI,BUF,Home,State Farm Stadium,closed,grass,,,4,2.0,10,59.0,4:26,266.0,266.0,3.0,0,2.0,3.0,pass,0.0,1.0,0.0,1,0,1.0,,,short,left,4.0,,0.0,0.0,-0.703861511,0.0
2020_10_BUF_ARI,REG,ARI,BUF,ARI,BUF,Home,State Farm Stadium,closed,grass,,,4,3.0,10,59.0,4:23,263.0,263.0,3.0,0,2.0,3.0,pass,0.0,1.0,0.0,1,0,1.0,,,,,,,-6.0,0.0,-1.693274131,0.0
2020_10_BUF_ARI,REG,ARI,BUF,ARI,BUF,Home,State Farm Stadium,closed,grass,,,4,4.0,16,65.0,3:43,223.0,223.0,3.0,0,2.0,3.0,punt,0.0,0.0,0.0,0,0,0.0,,,,,,,0.0,1.0,0.1657295159529894,0.0
2020_10_BUF_ARI,REG,ARI,BUF,BUF,ARI,Home,State Farm Stadium,closed,grass,,,4,1.0,10,78.0,3:35,215.0,215.0,-3.0,0,3.0,2.0,pass,0.0,1.0,0.0,1,0,1.0,,,short,left,3.0,3.0,6.0,1.0,0.1896458459086716,0.0
2020_10_BUF_ARI,REG,ARI,BUF,BUF,ARI,Home,State Farm Stadium,closed,grass,,,4,2.0,4,72.0,3:05,185.0,185.0,-3.0,0,3.0,2.0,pass,0.0,1.0,0.0,1,0,1.0,,,short,left,12.0,,0.0,0.0,-0.582034526,0.0
2020_10_BUF_ARI,REG,ARI,BUF,BUF,ARI,Home,State Farm Stadium,closed,grass,,,4,3.0,4,72.0,2:57,177.0,177.0,-3.0,0,3.0,2.0,pass,0.0,1.0,0.0,1,0,1.0,,,short,left,4.0,0.0,4.0,1.0,1.2260756033938378,0.0
2020_10_BUF_ARI,REG,ARI,BUF,BUF,ARI,Home,State Farm Stadium,closed,grass,,,4,1.0,10,68.0,2:53,173.0,173.0,-3.0,0,3.0,2.0,pass,0.0,1.0,0.0,1,1,1.0,,,short,left,5.0,,0.0,0.0,-0.471976624,0.0
2020_10_BUF_ARI,REG,ARI,BUF,BUF,ARI,Home,State Farm Stadium,closed,grass,,,4,2.0,10,68.0,2:45,165.0,165.0,-3.0,0,3.0,2.0,run,1.0,0.0,0.0,1,0,0.0,middle,,,,,,12.0,1.0,1.0080008516088128,0.0
2020_10_BUF_ARI,REG,ARI,BUF,BUF,ARI,Home,State Farm Stadium,closed,grass,,,4,1.0,10,56.0,2:16,136.0,136.0,-3.0,0,3.0,2.0,pass,0.0,1.0,0.0,1,1,1.0,,,short,left,5.0,0.0,5.0,1.0,0.083787333,0.0
