play_id,game_id,old_game_id,play_type,yards_gained,run_location,run_gap,epa,rush_attempt,offense_formation,offense_personnel
61,2024_01_ARI_BUF,2024090801,run,3,middle,,-0.200602158,1.0,UNDER CENTER,"2 C, 1 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR"
133,2024_01_ARI_BUF,2024090801,run,2,middle,,-0.02960193,1.0,UNDER CENTER,"2 C, 1 G, 1 QB, 1 RB, 2 T, 3 TE, 1 WR"
155,2024_01_ARI_BUF,2024090801,run,2,left,guard,-0.247748838,1.0,PISTOL,"2 C, 1 G, 1 QB, 1 RB, 2 T, 3 TE, 1 WR"
177,2024_01_ARI_BUF,2024090801,run,2,left,end,-0.530138513,1.0,UNDER CENTER,"2 C, 1 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR"
265,2024_01_ARI_BUF,2024090801,run,-3,left,tackle,-1.281088945,1.0,SHOTGUN,"2 C, 1 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR"
287,2024_01_ARI_BUF,2024090801,run,6,right,end,2.377085478277877,1.0,SHOTGUN,"2 C, 1 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR"
320,2024_01_ARI_BUF,2024090801,run,4,left,end,0.1685048983199522,1.0,SHOTGUN,"2 C, 1 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR"
457,2024_01_ARI_BUF,2024090801,run,9,left,guard,0.648818388,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR"
479,2024_01_ARI_BUF,2024090801,run,3,right,guard,0.039457681,1.0,UNDER CENTER,"1 C, 3 G, 1 QB, 1 RB, 2 T, 2 TE, 1 WR"
565,2024_01_ARI_BUF,2024090801,run,4,left,end,-0.12720861,1.0,UNDER CENTER,"2 C, 1 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR"
707,2024_01_ARI_BUF,2024090801,run,11,right,end,0.7167928341077641,1.0,SHOTGUN,"2 C, 1 G, 1 QB, 2 RB, 2 T, 3 TE"
759,2024_01_ARI_BUF,2024090801,run,1,right,guard,-0.652270698,1.0,SHOTGUN,"2 C, 1 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR"
902,2024_01_ARI_BUF,2024090801,run,15,right,guard,0.8160086027346551,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR"
924,2024_01_ARI_BUF,2024090801,run,5,right,guard,-0.022938924,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR"
971,2024_01_ARI_BUF,2024090801,run,9,left,tackle,0.6979031822411343,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR"
993,2024_01_ARI_BUF,2024090801,run,4,right,guard,0.063546137,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR"
1015,2024_01_ARI_BUF,2024090801,run,4,right,guard,0.13047747808741406,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR"
1037,2024_01_ARI_BUF,2024090801,run,0,left,guard,-1.008804651,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR"
1195,2024_01_ARI_BUF,2024090801,run,6,left,end,0.670420314,1.0,SHOTGUN,"2 C, 1 G, 1 QB, 1 RB, 2 T, 3 TE, 1 WR"
1269,2024_01_ARI_BUF,2024090801,run,12,left,tackle,1.690780984936282,1.0,SHOTGUN,"2 C, 1 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR"
1374,2024_01_ARI_BUF,2024090801,run,4,right,end,-0.124969535,1.0,SHOTGUN,"2 C, 1 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR"
1429,2024_01_ARI_BUF,2024090801,run,3,right,end,-0.384524157,1.0,SHOTGUN,"2 C, 1 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR"
1476,2024_01_ARI_BUF,2024090801,run,3,right,guard,1.0359662319824565,1.0,SHOTGUN,"2 C, 1 G, 1 QB, 1 RB, 2 T, 3 TE, 1 WR"
1568,2024_01_ARI_BUF,2024090801,run,6,left,end,0.11117035034112632,1.0,UNDER CENTER,"1 C, 3 G, 1 QB, 1 RB, 2 T, 1 TE, 2 WR"
1695,2024_01_ARI_BUF,2024090801,run,6,right,end,0.5671229729778133,1.0,SHOTGUN,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR"
1796,2024_01_ARI_BUF,2024090801,run,7,right,guard,0.30951807685778476,1.0,SHOTGUN,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR"
1818,2024_01_ARI_BUF,2024090801,run,7,right,end,2.1600681267445907,1.0,SHOTGUN,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR"
1886,2024_01_ARI_BUF,2024090801,qb_kneel,-1,,,0,1.0,,"2 C, 1 G, 1 QB, 1 RB, 2 T, 3 TE, 1 WR"
1967,2024_01_ARI_BUF,2024090801,run,1,left,end,-0.822719354,1.0,SHOTGUN,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR"
2089,2024_01_ARI_BUF,2024090801,run,-2,right,guard,-1.086485466,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR"
2145,2024_01_ARI_BUF,2024090801,run,13,right,tackle,0.5300695956684649,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR"
2167,2024_01_ARI_BUF,2024090801,run,0,left,guard,-0.476553389,1.0,SHOTGUN,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR"
2291,2024_01_ARI_BUF,2024090801,run,2,left,end,-0.362471925,1.0,PISTOL,"2 C, 1 G, 1 QB, 1 RB, 2 T, 3 TE, 1 WR"
2318,2024_01_ARI_BUF,2024090801,run,2,right,end,-0.516522001,1.0,SHOTGUN,"2 C, 1 G, 1 QB, 1 RB, 2 T, 3 TE, 1 WR"
2423,2024_01_ARI_BUF,2024090801,run,0,right,guard,-0.770659726,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR"
2561,2024_01_ARI_BUF,2024090801,run,1,middle,,-0.492742059,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR"
2608,2024_01_ARI_BUF,2024090801,run,1,right,guard,-0.816518086,1.0,UNDER CENTER,"1 C, 3 G, 1 QB, 1 RB, 2 T, 2 TE, 1 WR"
2632,2024_01_ARI_BUF,2024090801,run,1,middle,,1.3437174689024687,1.0,UNDER CENTER,"1 C, 2 G, 1 QB, 1 RB, 2 T, 2 TE, 2 WR"
