play_id,game_id,old_game_id,play_type,yards_gained,run_location,run_gap,epa,rush_attempt,offense_formation,offense_personnel
2109,2023_10_HOU_CIN,2023111202,qb_kneel,-1,,,0,1.0,,"1 C, 2 G, 1 QB, 2 RB, 2 T, 2 TE, 1 WR"
2177,2023_10_HOU_CIN,2023111202,run,12,left,end,0.8220306695438921,1.0,UNDER CENTER,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR"
2199,2023_10_HOU_CIN,2023111202,run,3,left,guard,-0.2838994,1.0,UNDER CENTER,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR"
2246,2023_10_HOU_CIN,2023111202,run,3,left,tackle,-0.326985602,1.0,PISTOL,"1 C, 1 G, 1 QB, 1 RB, 3 T, 2 TE, 2 WR"
2268,2023_10_HOU_CIN,2023111202,run,7,right,tackle,0.9299856498837471,1.0,UNDER CENTER,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR"
2345,2023_10_HOU_CIN,2023111202,run,2,left,guard,-0.041011642,1.0,UNDER CENTER,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR"
2671,2023_10_HOU_CIN,2023111202,run,6,right,end,1.3996244820882566,1.0,UNDER CENTER,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR"
2732,2023_10_HOU_CIN,2023111202,run,17,left,tackle,1.0575853385962546,1.0,SHOTGUN,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR"
2779,2023_10_HOU_CIN,2023111202,run,15,left,tackle,0.9515600149752572,1.0,SHOTGUN,"1 C, 2 G, 1 QB, 1 RB, 2 T, 1 TE, 3 WR"
2949,2023_10_HOU_CIN,2023111202,run,1,right,guard,-0.531464513,1.0,UNDER CENTER,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR"
3098,2023_10_HOU_CIN,2023111202,run,-2,middle,,-0.836979067,1.0,UNDER CENTER,"1 C, 3 G, 1 QB, 1 RB, 2 T, 2 TE, 1 WR"
