play_id,game_id,old_game_id,play_type,yards_gained,run_location,run_gap,epa,rush_attempt,offense_formation,offense_personnel,defenders_in_box,defense_personnel
55,2023_01_ARI_WAS,2023091007,run,3,right,tackle,-0.336103456,1.0,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 2 TE, 2 WR",6,"2 CB, 2 DE, 1 DT, 1 FS, 2 ILB, 2 OLB, 1 SS"
102,2023_01_ARI_WAS,2023091007,run,2,left,guard,0.4697992135770619,1.0,UNDER CENTER,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",6,"2 CB, 2 DE, 1 FS, 2 ILB, 2 OLB, 2 SS"
276,2023_01_ARI_WAS,2023091007,run,-1,left,end,-0.877484949,1.0,UNDER CENTER,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",6,"3 CB, 2 DE, 2 DT, 1 MLB, 1 OLB, 2 SS"
310,2023_01_ARI_WAS,2023091007,run,6,left,guard,-0.069433782,1.0,UNDER CENTER,"1 C, 1 G, 1 QB, 1 RB, 3 T, 2 TE, 2 WR",7,"2 CB, 2 DE, 2 DT, 1 FS, 1 MLB, 1 OLB, 2 SS"
405,2023_01_ARI_WAS,2023091007,run,5,right,guard,-0.585785276,1.0,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",6,"3 CB, 2 DE, 2 DT, 1 FS, 1 MLB, 2 SS"
558,2023_01_ARI_WAS,2023091007,run,3,right,tackle,0.043072709,1.0,UNDER CENTER,"1 C, 1 G, 1 QB, 1 RB, 3 T, 2 TE, 2 WR",6,"2 CB, 2 DE, 1 DT, 1 FS, 2 ILB, 2 OLB, 1 SS"
621,2023_01_ARI_WAS,2023091007,run,-1,right,end,-0.778207873,1.0,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",5,"2 CB, 2 DE, 1 DT, 1 FS, 1 ILB, 2 OLB, 2 SS"
677,2023_01_ARI_WAS,2023091007,run,6,left,tackle,0.1888738968409598,1.0,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",6,"2 CB, 2 DE, 1 FS, 2 ILB, 2 OLB, 2 SS"
763,2023_01_ARI_WAS,2023091007,run,4,left,end,-0.042103122,1.0,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",7,"3 CB, 3 DE, 1 DT, 1 MLB, 1 OLB, 2 SS"
790,2023_01_ARI_WAS,2023091007,run,29,right,end,2.1730704207438976,1.0,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",6,"3 CB, 3 DE, 1 DT, 1 MLB, 1 OLB, 2 SS"
913,2023_01_ARI_WAS,2023091007,run,1,right,end,-0.747438126,1.0,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",5,"3 CB, 2 DE, 2 DT, 1 MLB, 1 OLB, 2 SS"
1192,2023_01_ARI_WAS,2023091007,run,-3,right,end,-1.227382303,1.0,UNDER CENTER,"1 C, 1 G, 1 QB, 1 RB, 3 T, 3 TE, 1 WR",6,"2 CB, 2 DE, 3 DT, 1 MLB, 1 OLB, 2 SS"
1280,2023_01_ARI_WAS,2023091007,run,6,left,guard,0.22530239494517446,1.0,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",5,"2 CB, 2 DE, 1 FS, 2 ILB, 2 OLB, 2 SS"
1302,2023_01_ARI_WAS,2023091007,run,5,left,tackle,0.5088563784956932,1.0,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",6,"2 CB, 2 DE, 1 FS, 2 ILB, 2 OLB, 2 SS"
1327,2023_01_ARI_WAS,2023091007,run,5,left,end,-0.045259622,1.0,UNDER CENTER,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",5,"2 CB, 2 DE, 1 FS, 2 ILB, 2 OLB, 2 SS"
1349,2023_01_ARI_WAS,2023091007,run,3,right,guard,-0.175788226,1.0,UNDER CENTER,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",6,"2 CB, 2 DE, 1 FS, 2 ILB, 2 OLB, 2 SS"
1449,2023_01_ARI_WAS,2023091007,run,3,middle,,-4.776597658,1.0,SHOTGUN,"1 C, 1 G, 1 QB, 1 RB, 3 T, 1 TE, 3 WR",6,"2 CB, 2 DE, 1 FS, 2 ILB, 2 OLB, 2 SS"
