play_id,game_id,old_game_id,play_type,yards_gained,run_location,run_gap,epa,rush_attempt,offense_formation,offense_personnel,defenders_in_box,defense_personnel
2624,2022_10_IND_LV,2022111308,run,2,middle,,0.048366328,1.0,I_FORM,"2 RB, 1 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB"
2645,2022_10_IND_LV,2022111308,run,1,middle,,0.6474051024997607,1.0,I_FORM,"2 RB, 1 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB"
2725,2022_10_IND_LV,2022111308,run,4,left,guard,-0.127259768,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR",8.0,"5 DL, 2 LB, 4 DB"
2746,2022_10_IND_LV,2022111308,run,66,middle,,5.7114669983275235,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB"
2807,2022_10_IND_LV,2022111308,run,3,right,guard,-0.31660284,1.0,SHOTGUN,"2 RB, 1 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB"
2948,2022_10_IND_LV,2022111308,run,1,middle,,-0.575228787,1.0,I_FORM,"6 OL, 1 RB, 1 TE, 2 WR",8.0,"5 DL, 2 LB, 4 DB"
3000,2022_10_IND_LV,2022111308,run,2,middle,,-1.174205814,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 1 LB, 6 DB"
3069,2022_10_IND_LV,2022111308,run,0,right,guard,-0.890821923,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
3304,2022_10_IND_LV,2022111308,run,2,middle,,-0.580907464,1.0,I_FORM,"2 RB, 1 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB"
3385,2022_10_IND_LV,2022111308,run,4,left,end,-0.091071268,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,"5 DL, 2 LB, 4 DB"
3411,2022_10_IND_LV,2022111308,run,3,middle,,-0.343611651,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"5 DL, 2 LB, 4 DB"
3432,2022_10_IND_LV,2022111308,run,39,right,end,3.139366789138876,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
3694,2022_10_IND_LV,2022111308,run,2,middle,,-0.332018109,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
3854,2022_10_IND_LV,2022111308,run,3,left,guard,-0.335347563,1.0,I_FORM,"2 RB, 1 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB"
3926,2022_10_IND_LV,2022111308,qb_kneel,-1,,,0,1.0,,"1 RB, 3 TE, 1 WR",8.0,"5 DL, 2 LB, 4 DB"
3947,2022_10_IND_LV,2022111308,qb_kneel,-1,,,0,1.0,,"1 RB, 3 TE, 1 WR",8.0,"5 DL, 2 LB, 4 DB"
59,2022_10_JAX_KC,2022111303,run,7,left,guard,0.44401403539814055,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB"
126,2022_10_JAX_KC,2022111303,run,1,right,end,-0.837293351,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB"
186,2022_10_JAX_KC,2022111303,run,2,right,end,-0.652469909,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB"
229,2022_10_JAX_KC,2022111303,run,19,left,end,2.852057586191222,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"1 DL, 5 LB, 5 DB"
388,2022_10_JAX_KC,2022111303,run,4,middle,,-5.845167477,1.0,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,"3 DL, 4 LB, 4 DB"
449,2022_10_JAX_KC,2022111303,run,-1,right,end,-0.818337021,1.0,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB"
494,2022_10_JAX_KC,2022111303,run,1,right,end,-1.759476244,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB"
532,2022_10_JAX_KC,2022111303,run,13,right,tackle,0.9940885894466192,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"3 DL, 3 LB, 5 DB"
615,2022_10_JAX_KC,2022111303,run,9,right,tackle,0.7484389663441107,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB"
699,2022_10_JAX_KC,2022111303,run,4,middle,,-0.057056783,1.0,SHOTGUN,"1 RB, 2 TE, 2 WR",6.0,"3 DL, 4 LB, 4 DB"
777,2022_10_JAX_KC,2022111303,run,4,right,end,-0.048864551,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,"2 DL, 4 LB, 5 DB"
935,2022_10_JAX_KC,2022111303,run,-1,left,end,-0.812457661,1.0,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB"
1042,2022_10_JAX_KC,2022111303,run,4,left,end,-0.059983256,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB"
1124,2022_10_JAX_KC,2022111303,run,32,right,end,1.9765241611748934,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB"
1150,2022_10_JAX_KC,2022111303,run,9,right,guard,0.8036335237557068,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB"
1227,2022_10_JAX_KC,2022111303,run,5,left,guard,-0.137058248,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"3 DL, 3 LB, 5 DB"
1353,2022_10_JAX_KC,2022111303,run,5,left,end,-0.011533105,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB"
1379,2022_10_JAX_KC,2022111303,run,1,left,end,-0.774794238,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB"
1583,2022_10_JAX_KC,2022111303,run,3,left,end,-0.14393305,1.0,SHOTGUN,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB"
1731,2022_10_JAX_KC,2022111303,run,12,left,end,1.2238649788196199,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"1 DL, 5 LB, 5 DB"
1942,2022_10_JAX_KC,2022111303,run,18,left,end,1.0969212014460936,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,"3 DL, 2 LB, 6 DB"
2178,2022_10_JAX_KC,2022111303,run,10,middle,,0.6026014322414994,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB"
2364,2022_10_JAX_KC,2022111303,run,9,left,end,0.7861294207395986,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB"
2390,2022_10_JAX_KC,2022111303,run,3,right,end,-0.022630131,1.0,WILDCAT,"2 RB, 1 TE, 2 WR",6.0,"4 DL, 2 LB, 5 DB"
2437,2022_10_JAX_KC,2022111303,run,4,right,end,-0.053015015,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB"
2492,2022_10_JAX_KC,2022111303,run,4,middle,,0.14471528958529234,1.0,WILDCAT,"1 RB, 3 TE, 1 WR",8.0,"3 DL, 4 LB, 4 DB"
2629,2022_10_JAX_KC,2022111303,run,2,middle,,-0.462510144,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB"
2725,2022_10_JAX_KC,2022111303,run,4,middle,,-0.516547448,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB"
2829,2022_10_JAX_KC,2022111303,run,0,,,-0.971864314,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR",8.0,"5 DL, 3 LB, 3 DB"
3109,2022_10_JAX_KC,2022111303,run,3,right,guard,-0.325865359,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR",6.0,"2 DL, 4 LB, 5 DB"
