game_id,season_type,home_team,away_team,posteam,defteam,location,stadium,roof,surface,temp,wind,qtr,down,ydstogo,yardline_100,time,quarter_seconds_remaining,game_seconds_remaining,score_differential,goal_to_go,posteam_timeouts_remaining,defteam_timeouts_remaining,play_type,rush_attempt,pass_attempt,field_goal_attempt,shotgun,no_huddle,qb_dropback,run_location,run_gap,pass_length,pass_location,air_yards,yards_after_catch,yards_gained,success,epa,touchdown
2022_10_IND_LV,REG,LV,IND,LV,IND,Home,Allegiant Stadium,dome,grass,,,3,3.0,2,17.0,3:17,197,1097,-6.0,0,3.0,3.0,pass,0.0,1.0,0.0,1,0,1.0,,,short,middle,3.0,11.0,14.0,1.0,1.6465733409277163,0.0
2022_10_IND_LV,REG,LV,IND,LV,IND,Home,Allegiant Stadium,dome,grass,,,3,1.0,3,3.0,2:33,153,1053,-6.0,1,3.0,3.0,run,1.0,0.0,0.0,0,0,0.0,middle,,,,,,2.0,1.0,0.048366328,0.0
2022_10_IND_LV,REG,LV,IND,LV,IND,Home,Allegiant Stadium,dome,grass,,,3,2.0,1,1.0,1:55,115,1015,-6.0,1,3.0,3.0,run,1.0,0.0,0.0,0,0,0.0,middle,,,,,,1.0,1.0,0.6474051024997607,1.0
2022_10_IND_LV,REG,LV,IND,IND,LV,Home,Allegiant Stadium,dome,grass,,,3,1.0,10,70.0,1:44,104,1004,-1.0,0,3.0,3.0,run,1.0,0.0,0.0,0,0,0.0,left,guard,,,,,4.0,0.0,-0.127259768,0.0
2022_10_IND_LV,REG,LV,IND,IND,LV,Home,Allegiant Stadium,dome,grass,,,3,2.0,6,66.0,1:12,72,972,-1.0,0,3.0,3.0,run,1.0,0.0,0.0,0,0,0.0,middle,,,,,,66.0,1.0,5.711466998327524,1.0
2022_10_IND_LV,REG,LV,IND,LV,IND,Home,Allegiant Stadium,dome,grass,,,3,1.0,10,62.0,0:53,53,953,-5.0,0,3.0,3.0,run,1.0,0.0,0.0,1,0,0.0,right,guard,,,,,3.0,0.0,-0.31660284,0.0
2022_10_IND_LV,REG,LV,IND,LV,IND,Home,Allegiant Stadium,dome,grass,,,4,2.0,12,64.0,15:00,900,900,-5.0,0,3.0,3.0,pass,0.0,1.0,0.0,1,0,1.0,,,short,middle,4.0,1.0,5.0,0.0,-0.3484055,0.0
2022_10_IND_LV,REG,LV,IND,LV,IND,Home,Allegiant Stadium,dome,grass,,,4,3.0,7,59.0,14:14,854,854,-5.0,0,3.0,3.0,pass,0.0,1.0,0.0,1,0,1.0,,,short,right,6.0,,0.0,0.0,-1.557041961,0.0
2022_10_IND_LV,REG,LV,IND,LV,IND,Home,Allegiant Stadium,dome,grass,,,4,4.0,7,59.0,14:09,849,849,-5.0,0,3.0,3.0,punt,0.0,0.0,0.0,0,0,0.0,,,,,,,0.0,1.0,0.587020484,0.0
2022_10_IND_LV,REG,LV,IND,IND,LV,Home,Allegiant Stadium,dome,grass,,,4,1.0,10,95.0,13:59,839,839,5.0,0,3.0,3.0,run,1.0,0.0,0.0,0,0,0.0,middle,,,,,,1.0,0.0,-0.575228787,0.0
2022_10_IND_LV,REG,LV,IND,IND,LV,Home,Allegiant Stadium,dome,grass,,,4,2.0,9,94.0,13:18,798,798,5.0,0,3.0,3.0,pass,0.0,1.0,0.0,1,0,1.0,,,short,left,-5.0,,0.0,0.0,-0.459750319,0.0
2022_10_IND_LV,REG,LV,IND,IND,LV,Home,Allegiant Stadium,dome,grass,,,4,3.0,9,94.0,13:15,795,795,5.0,0,3.0,2.0,run,1.0,0.0,0.0,1,0,0.0,middle,,,,,,2.0,0.0,-1.174205814,0.0
2022_10_IND_LV,REG,LV,IND,IND,LV,Home,Allegiant Stadium,dome,grass,,,4,4.0,7,92.0,12:39,759,759,5.0,0,3.0,2.0,punt,0.0,0.0,0.0,0,0,0.0,,,,,,,0.0,0.0,-0.573311649,0.0
2022_10_IND_LV,REG,LV,IND,LV,IND,Home,Allegiant Stadium,dome,grass,,,4,1.0,10,48.0,12:32,752,752,-5.0,0,2.0,3.0,pass,0.0,1.0,0.0,0,0,1.0,,,deep,middle,35.0,,0.0,0.0,-0.549476953,0.0
2022_10_IND_LV,REG,LV,IND,LV,IND,Home,Allegiant Stadium,dome,grass,,,4,2.0,10,48.0,12:23,743,743,-5.0,0,2.0,3.0,run,1.0,0.0,0.0,0,0,0.0,right,guard,,,,,0.0,0.0,-0.890821923,0.0
2022_10_IND_LV,REG,LV,IND,LV,IND,Home,Allegiant Stadium,dome,grass,,,4,3.0,10,48.0,11:47,707,707,-5.0,0,2.0,3.0,pass,0.0,1.0,0.0,1,0,1.0,,,deep,middle,22.0,26.0,48.0,1.0,5.578856753418222,1.0
2022_10_IND_LV,REG,LV,IND,IND,LV,Home,Allegiant Stadium,dome,grass,,,4,1.0,10,75.0,11:36,696,696,-1.0,0,3.0,2.0,pass,0.0,1.0,0.0,1,0,1.0,,,short,right,5.0,1.0,6.0,1.0,0.1684045053552836,0.0
2022_10_IND_LV,REG,LV,IND,IND,LV,Home,Allegiant Stadium,dome,grass,,,4,1.0,10,65.0,10:43,643,643,-1.0,0,3.0,2.0,pass,0.0,1.0,0.0,1,0,1.0,,,deep,right,28.0,,0.0,0.0,-0.551703144,0.0
2022_10_IND_LV,REG,LV,IND,IND,LV,Home,Allegiant Stadium,dome,grass,,,4,2.0,10,65.0,10:37,637,637,-1.0,0,3.0,2.0,pass,0.0,1.0,0.0,1,0,1.0,,,short,right,5.0,0.0,5.0,0.0,-0.177152884,0.0
